https://t.co/52JzHNM4wB
İyiydi kabul et :)) https://t.co/ZrOWCNHdUi
Sadri Alisik ödüllerinden 2 ödül ! Tebrikler degerli ustam @zaferalgoz Tesekkürler Sadri Baba !
Have you heard ‘Vik’ by cmylmz on #SoundCloud? #np https://t.co/1dDqFnsoga
"Bir kitap tavsiyesi,Nuran Devres in romanını okumak istermisiniz? https://t.co/jaCRvLYRjD"
Koc Universitesindeki katilimci arkadaslarima cok tesekkurler..Cok neseliydi ve guzeldi... https://t.co/Zk8hXGzzvA
Üzgünüm :) https://t.co/xt5YoR1JXm
Akdeniz Üniversitesi'ndeki kardeşlerime çok teşekkür ederim..Güzel bir söyleşiydi :)Size güveniyorum...
Doğum günümü kutlayan tüm arkadaşlara tesekkürler hepimize nice güzel zamanlar dilerim...
@MCumbulOfficial ;)))) görmez miyim !
RT @ILBERORTAYLIGSU: https://t.co/n5XuEqcjx2
Mekanın Cennet Olsun...Canım Atatürk. https://t.co/s6mlqJNS7e
Bu arada can yılmaz 1 nedir ya! Söylicem söylicem söylemiyorum :) Terminatör gibi ;) 1 @canyilmaz1
"Can hoca şu espri nası; Catalhöyük magarasında 4000 yıl öncesine ait ""ortak payda"" bulunmuş :)) @canyilmaz1"
Hoca pinponda bugün hezimete uğradın bırak şimdi :)  https://t.co/FsaLXfNA9e
Wes Craven yönettiği korku filminde cocuk oyuncu @canyilmaz1 sana da selamlar :)  https://t.co/IeCtuBgfNR
Benim doğum günüm 23 Nisan ! Ne iyi :))
"Yarın Ulusal Egemenlik ve Çocuk Bayramı...23 Nisan tüm memleketini seven çocuklara,bütün temiz yüreklere kutlu,mutlu olsun. Bizim günümüz 🇹🇷"
"2300 yıllık mozaik ""Neşeli ol,hayatını yaşa "" işte benim adamım :)) https://t.co/WkwwJyAQQQ"
"Dünya iyi insanların hürmetine dönüyor,boşver Cemcim diyor ve geçiyoruz."
"Bi kare fotografla ""gülmek"" ve cenaze merasimde saygı temalı magazini gördüm ve anladım ki insanlar gercekten kalpsiz.İnsan insana gülümser."
Kral adamdı...Prince ! https://t.co/bGQqxQo8Ck
İTÜ deki kardeşlerime tesekkür ederim.Güzel bir sohbetti :)
RT @canyilmaz1: https://t.co/2hXIO9zO5I
https://t.co/fCLiFhYwkd
RT @GuvenOzan: https://t.co/zO2EvWbocH
https://t.co/NLT795HehJ
https://t.co/0SnXUxHIXP @GuvenOzan
Yürütemedik...Ayrıldık ! https://t.co/EN7Tptgtsa
"RT @canyilmaz1: İki genç (!) birbirini sevmiş bize söz düşmez...Allah tamamına erdirsin...
@CMYLMZ @GuvenOzan https://t.co/HV2qLZFYQw"
RT @russellcrowe: #theniceguys https://t.co/flP0JJ6n4h via @youtube
Basiniza iyi seyler gelebilir :) hazirlikli olun ...https://t.co/rjGvXc3XgF
İzmir Kitap Fuarı ! @canyilmaz1 hocama kolaylıklar diliyorum ! İzmiri benim için öp :) https://t.co/5cEoLtUuvE
Seyfi Teoman anısına verilen ilk film ödülünün 3.yılında yine festivalimizin yanındayız.@ist_filmfest  https://t.co/uvZadrpmkJ
"RT @gunlerdenyarin: ODTÜ'de bir şeyler oldu... @CMYLMZ ve Eryiğit Umur, geleceği konuşmak için sahnedeydi! https://t.co/qblNb8e0sR"
RT @canyilmaz1: Tek Kişilik Gösteri..! https://t.co/nO7CyOziqQ
İTunes Store da 1 numara ! Aaa şaşırdım :) https://t.co/5XhNQyqcdc
RT @UniBogazici: Boğaziçi Üniversitesi'nin en sevilen Oyuncu / Yönetmen mezunu @CMYLMZ bizlerle! https://t.co/VrRHTLjFUG
"RT @UniBogazici: Kendisi de mezunlarımızdan olan @CMYLMZ, 45 dakika sonra Albert Long Hall'de bizlerle olacak! https://t.co/uEW5XTpeDB"
Bavuluyla mi beraber?Elinde bavulu ile goruntulenen komedyen askini gizlemiyor.Bavul ile her yere gidiyor.Yani aşık! https://t.co/oyvvPmNEPU
"Zor da olsa hayatınıza biraz mizah,biraz neşe katabilirsiniz."
Kıskanç ;)) @canyilmaz1 https://t.co/V98OnbMYyK
O rakama bulursan 2 tane de bize alıver :))  https://t.co/vU0iEopPGa
